Property Reference,Works Order Reference,Job Trade Code,Works Order Raised Date
10027,3000326/1,CARPENTRY,1/22/2021
10027,3000326/2,PLUMBING,2/2/2021
10027,3000326/3,PLUMBING,2/2/2021
10027,3000326/4,BRICKWORK,2/2/2021
10027,3000326/5,BRICKWORK,2/2/2021
10027,3010439/1,CLEANCLEAR,2/10/2021
10027,3010439/1,PESTCONTRL,2/10/2021
10028,2894148/1,PLUMBING,7/2/2020
10029,2886603/1,ELECTRICAL,6/18/2020
10029,2886607/1,PLUMBING,6/18/2020
10029,2898504/1,ELECTRICAL,7/9/2020
10029,2898504/2,CARPENTRY,7/9/2020
10029,2898504/3,PLUMBING,7/10/2020
10029,2915178/1,PLUMBING,8/13/2020
10029,2917818/1,CARPENTRY,8/19/2020
10029,2917818/1,PLUMBING,8/19/2020
10030,2885344/1,ELECTRICAL,6/17/2020
10030,2894101/1,ELECTRICAL,7/2/2020
10030,2895450/1,ELECTRICAL,7/4/2020
10030,2922146/1,ELECTRICAL,8/27/2020
10030,2922148/1,ROOFING,8/27/2020
10032,2875264/1,CARPENTRY,5/24/2020
10032,2875264/2,CARPENTRY,5/26/2020
10032,2875772/2,PLUMBING,6/2/2020
10034,2963244/1,PLUMBING,11/13/2020
10034,2967572/1,PLUMBING,11/20/2020
10034,2970634/1,ROOFING,11/26/2020
10036,2887502/1,CARPENTRY,6/20/2020
10036,2887502/2,CARPENTRY,6/22/2020
10037,2929867/1,PLUMBING,9/11/2020
10037,2991713/1,CARPENTRY,1/8/2021
10038,2876530/1,PLUMBING,5/28/2020
10040,2883499/1,PLUMBING,6/12/2020
10041,2863491/1,PLUMBING,4/9/2020
10041,2869669/1,PLUMBING,5/5/2020
10041,2932039/1,PLUMBING,9/16/2020
10041,2933662/1,CARPENTRY,9/21/2020
10041,3018846/1,ELECTRICAL,2/23/2021
10044,2934596/1,CARPENTRY,9/22/2020
10044,2945137/1,ELECTRICAL,10/9/2020
10044,2986779/1,BRICKWORK,12/24/2020
10044,2986779/1,CARPENTRY,12/24/2020
10044,3014516/1,PLUMBING,2/16/2021
10044,3014516/2,PLUMBING,2/22/2021
10044,3034061/1,PLUMBING,3/23/2021
10044,3034061/1,WALLFLOOR,3/23/2021
10046,2992090/1,ELECTRICAL,1/8/2021
10047,2894362/1,PLUMBING,7/3/2020
10047,3004395/1,ELECTRICAL,1/29/2021
10047,3004397/1,PLUMBING,1/29/2021
10048,2872760/1,PLUMBING,5/15/2020
10048,2920894/1,PLUMBING,8/25/2020
10048,3010225/1,ELECTRICAL,2/9/2021
10048,3028959/1,CARPENTRY,3/12/2021
10048,3028968/1,ELECTRICAL,3/12/2021
10049,2893376/1,ELECTRICAL,7/1/2020
10049,2893385/1,PLUMBING,7/1/2020
10049,2893385/1,ROOFING,7/1/2020
10049,2898105/1,CARPENTRY,7/9/2020
10049,2898105/1,PLUMBING,7/9/2020
10049,2905036/1,CARPENTRY,7/23/2020
10050,2876578/1,DRAINAGE,5/28/2020
10050,2876578/1,PLUMBING,5/28/2020
10050,2933459/1,PLUMBING,9/20/2020
10050,2997135/1,PLUMBING,1/18/2021
10050,3029558/1,CARPENTRY,3/14/2021
10052,2956583/1,ELECTRICAL,10/31/2020
10053,2863696/1,CARPENTRY,4/13/2020
10053,2863722/1,ELECTRICAL,4/13/2020
10056,2870413/1,PLUMBING,5/7/2020
10056,2944149/1,PLUMBING,10/8/2020
10056,2944149/2,PLUMBING,10/12/2020
10056,2945762/1,WALLFLOOR,10/12/2020
10056,2968347/1,ELECTRICAL,11/23/2020
10056,2989655/1,PLUMBING,1/5/2021
10056,2997278/1,PLUMBING,1/18/2021
10061,2996373/1,PLUMBING,1/15/2021
10061,2996373/2,PLUMBING,1/18/2021
10061,2996373/3,PLUMBING,1/26/2021
10061,2996374/1,ELECTRICAL,1/15/2021
10062,2980873/1,PLUMBING,12/14/2020
10065,2873269/1,PLUMBING,5/18/2020
10065,2920544/1,ELECTRICAL,8/25/2020
10065,2958128/1,ELECTRICAL,11/3/2020
10066,2963087/1,BRICKWORK,11/12/2020
10066,2963087/1,CARPENTRY,11/12/2020
10066,2963094/1,WALLFLOOR,11/12/2020
10066,2963094/2,DECORATING,11/13/2020
10066,2963094/2,PLASTERWRK,11/13/2020
10066,2963094/2,WALLFLOOR,11/13/2020
10066,2982938/1,CARPENTRY,12/17/2020
10067,2884304/1,ELECTRICAL,6/15/2020
10067,2884304/2,ELECTRICAL,7/1/2020
10067,2906780/1,PLUMBING,7/28/2020
10067,2906780/2,CARPENTRY,8/17/2020
10067,2906780/2,PLUMBING,8/17/2020
10070,2941621/1,PLUMBING,10/5/2020
10070,2943074/1,PLASTERWRK,10/7/2020
10070,2943074/1,PLUMBING,10/7/2020
10070,2956010/1,PLASTERWRK,10/30/2020
10070,2956010/1,WALLFLOOR,10/30/2020
10070,2956010/2,ELECTRICAL,10/30/2020
10070,2956014/1,PLUMBING,10/30/2020
10070,2970133/1,PLUMBING,11/25/2020
10070,3023056/1,PLUMBING,3/3/2021
10070,3023056/1,WALLFLOOR,3/3/2021
10070,3023064/1,ELECTRICAL,3/3/2021
10073,2986434/1,PLUMBING,12/23/2020
10073,2986434/2,CARPENTRY,12/24/2020
10074,2891328/1,DECORATING,6/29/2020
10074,2891328/1,PLUMBING,6/29/2020
10074,2916904/1,PLUMBING,8/18/2020
10075,2884460/1,PLUMBING,6/15/2020
10075,2924178/1,PLUMBING,9/1/2020
10075,2924191/1,CARPENTRY,9/1/2020
10075,2924191/2,CARPENTRY,9/24/2020
10075,2955782/1,PLUMBING,10/29/2020
10076,2926845/1,PLUMBING,9/7/2020
10076,2932946/1,ELECTRICAL,9/18/2020
10076,2932952/1,CARPENTRY,9/18/2020
10076,2932952/1,PLUMBING,9/18/2020
10076,3020056/1,CARPENTRY,2/25/2021
10076,3020056/2,GLAZING,2/26/2021
10076,3020059/1,CARPENTRY,2/25/2021
10076,3020059/1,PLUMBING,2/25/2021
10077,3026099/1,ROOFING,3/8/2021
10077,3026101/1,CARPENTRY,3/8/2021
10077,3034484/1,CARPENTRY,3/24/2021
10078,3027460/1,PLUMBING,3/10/2021
10081,2911450/1,PLUMBING,8/6/2020
10081,2911454/1,ELECTRICAL,8/6/2020
10081,2983555/1,ELECTRICAL,12/18/2020
10081,2983929/1,ELECTRICAL,12/19/2020
10081,3019920/1,ELECTRICAL,2/25/2021
10082,2887382/1,CARPENTRY,6/19/2020
10082,2887389/1,ELECTRICAL,6/19/2020
10082,3001943/1,ELECTRICAL,1/26/2021
10082,3026682/1,ELECTRICAL,3/9/2021
10083,2963593/2,PLUMBING,12/14/2020
10083,2963593/3,FENCING,12/14/2020
10083,2963593/3,PLUMBING,12/14/2020
10083,2963593/4,CARPENTRY,12/14/2020
10083,2963593/5,ELECTRICAL,12/14/2020
10083,2963593/6,CARPENTRY,12/14/2020
10083,2986363/1,ELECTRICAL,12/23/2020
10083,2991776/1,CARPENTRY,1/8/2021
10083,2991776/1,FENCING,1/8/2021
10084,2968167/1,ELECTRICAL,11/23/2020
10084,2968167/1,WALLFLOOR,11/23/2020
10084,2968167/2,ELECTRICAL,11/23/2020
10084,2988844/1,PLUMBING,1/4/2021
10084,3009379/1,ELECTRICAL,2/8/2021
10084,3025063/1,PLUMBING,3/5/2021
10085,3035232/1,PLUMBING,3/25/2021
10086,2883984/1,PLUMBING,6/15/2020
10088,2892690/1,PLUMBING,6/30/2020
10088,3007607/1,PLUMBING,2/4/2021
10088,3007610/1,CARPENTRY,2/4/2021
10089,3018381/1,ELECTRICAL,2/23/2021
10089,3018381/2,ELECTRICAL,2/24/2021
10090,2969554/1,ELECTRICAL,11/24/2020
10090,2993327/1,PLUMBING,1/11/2021
10091,2965968/1,ELECTRICAL,11/18/2020
10091,2965974/1,CARPENTRY,11/18/2020
10091,3031386/1,DECORATING,3/17/2021
10092,2869210/1,PLUMBING,5/4/2020
10092,2869213/1,ELECTRICAL,5/4/2020
10092,2878834/1,PLUMBING,6/3/2020
10092,2917903/1,ELECTRICAL,8/19/2020
10092,2917931/1,DECORATING,8/19/2020
10092,2938499/1,ELECTRICAL,9/29/2020
10093,2888892/1,BRICKWORK,6/23/2020
10093,2888892/1,PLASTERWRK,6/23/2020
10093,2888892/1,PLUMBING,6/23/2020
10093,2904365/1,PLUMBING,7/22/2020
10094,2962685/1,CARPENTRY,11/12/2020
10097,2893655/1,ELECTRICAL,7/2/2020
10097,2893663/1,GROUNDWORK,7/2/2020
10099,2930329/1,WALLFLOOR,9/14/2020
10099,2930329/2,CARPENTRY,9/15/2020
10099,2930329/2,PLUMBING,9/15/2020
10099,2930329/2,WALLFLOOR,9/15/2020
10099,2947425/1,CARPENTRY,10/14/2020
10099,3028809/1,CARPENTRY,3/12/2021
10099,3028809/2,CARPENTRY,3/15/2021
10100,2856349/2,DRAINAGE,4/6/2020
10100,2856349/2,PLUMBING,4/6/2020
10100,2870941/1,PLUMBING,5/11/2020
10100,2870941/2,DRAINAGE,5/19/2020
10100,2870941/2,PLUMBING,5/19/2020
10100,2886539/1,PLUMBING,6/18/2020
10100,2922371/1,ROOFING,8/27/2020
10100,2968753/1,ELECTRICAL,11/23/2020
10100,2988233/1,PLUMBING,1/4/2021
10102,2932639/1,PLUMBING,9/18/2020
10102,2983705/1,PLUMBING,12/18/2020
10102,2994345/1,PLUMBING,1/12/2021
10102,2994345/2,PLUMBING,1/13/2021
10102,3000364/1,PLUMBING,1/22/2021
10103,2879690/1,ELECTRICAL,6/4/2020
10103,2881565/1,ELECTRICAL,6/9/2020
10103,2898819/1,ELECTRICAL,7/10/2020
10103,2904525/1,ELECTRICAL,7/22/2020
10103,2904587/1,ELECTRICAL,7/23/2020
10103,2904587/2,ELECTRICAL,7/23/2020
10103,2924626/1,ELECTRICAL,9/2/2020
10103,2932227/1,ELECTRICAL,9/17/2020
10103,3007322/1,CARPENTRY,2/4/2021
10103,3007322/1,PLUMBING,2/4/2021
10105,2922763/1,PLUMBING,8/28/2020
10105,2922771/1,BRICKWORK,8/28/2020
10105,2922771/1,CARPENTRY,8/28/2020
10105,2922771/1,ROOFING,8/28/2020
10105,2949762/1,CARPENTRY,10/19/2020
10105,2988868/1,PLUMBING,1/4/2021
10105,2998635/1,ROOFING,1/20/2021
10106,2983093/1,BRICKWORK,12/17/2020
10106,2983096/1,CARPENTRY,12/17/2020
10106,3015903/2,CARPENTRY,2/19/2021
10106,3034721/1,CARPENTRY,3/24/2021
10107,2912019/1,PLUMBING,8/7/2020
10107,2912019/2,PLUMBING,8/7/2020
10107,2913174/1,CARPENTRY,8/10/2020
10107,2913174/1,PLUMBING,8/10/2020
10107,2962630/1,ROOFING,11/12/2020
10107,2962635/1,PLUMBING,11/12/2020
10107,2978566/1,PLUMBING,12/10/2020
10107,2983722/1,ROOFING,12/18/2020
10107,2986182/1,DECORATING,12/23/2020
10107,2986182/1,PLUMBING,12/23/2020
10107,3034523/1,ROOFING,3/24/2021
10107,3034530/1,PLASTERWRK,3/24/2021
10107,3034530/1,WALLFLOOR,3/24/2021
10108,2913906/1,CARPENTRY,8/11/2020
10108,2913914/1,PLUMBING,8/11/2020
10108,2925918/1,PLASTERWRK,9/4/2020
10108,2925918/1,WALLFLOOR,9/4/2020
10108,2940346/1,CARPENTRY,10/1/2020
10108,2940348/1,PLUMBING,10/1/2020
10108,2944419/1,PLUMBING,10/8/2020
10108,2965323/1,PLUMBING,11/17/2020
10108,2979288/1,PLUMBING,12/11/2020
10108,3031901/1,PLUMBING,3/18/2021
10108,3031998/1,PLUMBING,3/18/2021
10110,2959112/1,CARPENTRY,11/5/2020
10110,3001441/1,ELECTRICAL,1/25/2021
10110,3001441/2,ELECTRICAL,2/12/2021
10113,2929681/1,ELECTRICAL,9/11/2020
10113,2929689/1,CARPENTRY,9/11/2020
10114,3020778/1,PLUMBING,2/26/2021
10117,3007879/1,PLUMBING,2/5/2021
10117,3007884/1,ELECTRICAL,2/5/2021
10117,3018086/1,ELECTRICAL,2/22/2021
10117,3018091/1,DECORATING,2/22/2021
10117,3018339/1,PLUMBING,2/23/2021
10117,3018780/1,DRAINAGE,2/23/2021
10117,3018780/1,PLUMBING,2/23/2021
10118,3017163/1,DRAINAGE,2/20/2021
10118,3017163/1,PLUMBING,2/20/2021
10118,3031624/1,DRAINAGE,3/18/2021
10120,2963000/1,CARPENTRY,11/12/2020
10120,2981243/1,CARPENTRY,12/15/2020
10121,2941039/1,CARPENTRY,10/2/2020
10121,2973366/1,ELECTRICAL,11/30/2020
10121,2993304/1,CARPENTRY,1/11/2021
10121,3036109/1,CARPENTRY,3/26/2021
10121,3036111/1,ELECTRICAL,3/26/2021
10123,2917864/1,ELECTRICAL,8/19/2020
10123,2947271/1,PLUMBING,10/14/2020
10124,2882140/1,CARPENTRY,6/10/2020
10124,2888028/1,ELECTRICAL,6/22/2020
10124,2893708/1,ELECTRICAL,7/2/2020
10124,2906156/1,ELECTRICAL,7/27/2020
10124,2906164/1,CARPENTRY,7/27/2020
10124,2998890/1,CARPENTRY,1/20/2021
10124,3001728/1,PLUMBING,1/26/2021
10124,3003476/1,CARPENTRY,1/28/2021
10125,2863649/1,PLUMBING,4/12/2020
10125,2871705/1,DRAINAGE,5/13/2020
10125,2891025/1,PLUMBING,6/26/2020
10125,2891025/2,PLUMBING,6/29/2020
10125,2891026/1,ELECTRICAL,6/26/2020
10125,2891026/2,ELECTRICAL,6/29/2020
10125,2960217/1,PLUMBING,11/9/2020
10126,2957572/1,CARPENTRY,11/3/2020
10127,2994383/1,CARPENTRY,1/13/2021
10127,2994383/1,PLUMBING,1/13/2021
10127,2994389/1,PLASTERWRK,1/13/2021
10127,2994389/1,WALLFLOOR,1/13/2021
10127,2994389/2,ELECTRICAL,2/11/2021
10127,3020747/1,ELECTRICAL,2/26/2021
10128,2992689/1,PLUMBING,1/10/2021
10128,3024841/1,PLUMBING,3/5/2021
10129,2924098/1,ELECTRICAL,9/1/2020
10129,2930254/1,ELECTRICAL,9/14/2020
10129,2938950/1,CARPENTRY,9/29/2020
10129,2953431/1,CARPENTRY,10/26/2020
10129,2953431/1,PLUMBING,10/26/2020
10129,2965687/1,ROOFING,11/18/2020
10129,2969346/1,CARPENTRY,11/24/2020
10129,2969352/1,PLUMBING,11/24/2020
10129,3015763/1,PLUMBING,2/18/2021
10129,3035412/1,BRICKWORK,3/25/2021
10129,3035412/1,GROUNDWORK,3/25/2021
10129,3035412/1,PLASTERWRK,3/25/2021
10129,3035412/1,WALLFLOOR,3/25/2021
10130,2908993/1,ELECTRICAL,7/31/2020
10132,2897594/1,PLUMBING,7/8/2020
10132,2902566/1,PLUMBING,7/18/2020
10132,2902566/2,PLUMBING,7/20/2020
10133,2864666/1,CARPENTRY,4/17/2020
10133,2873114/1,ELECTRICAL,5/18/2020
10134,2987866/1,ELECTRICAL,1/2/2021
10134,2987866/2,ELECTRICAL,1/7/2021
10134,2991164/1,PLUMBING,1/7/2021
10137,3018656/1,PLUMBING,2/23/2021
10137,3018656/2,PLUMBING,2/24/2021
10137,3018863/1,CARPENTRY,2/23/2021
10137,3018863/2,PLASTERWRK,2/24/2021
10137,3018863/2,WALLFLOOR,2/24/2021
10137,3038310/1,CARPENTRY,3/31/2021
10137,3038315/1,WALLFLOOR,3/31/2021
10138,2876766/1,PLUMBING,5/28/2020
10138,2963856/1,ELECTRICAL,11/14/2020
10140,2872536/1,CARPENTRY,5/15/2020
10140,2993214/1,CARPENTRY,1/11/2021
10140,2993214/1,PLUMBING,1/11/2021
10140,2994913/1,CARPENTRY,1/13/2021
10140,2995042/1,PLUMBING,1/13/2021
10140,2995288/1,PLUMBING,1/14/2021
10141,3025264/1,PLUMBING,3/7/2021
10141,3025265/1,ELECTRICAL,3/7/2021
10144,2947193/1,ELECTRICAL,10/14/2020
10145,2873816/1,CARPENTRY,5/19/2020
10145,2873816/1,PLUMBING,5/19/2020
10145,2873816/1,WALLFLOOR,5/19/2020
10145,2873828/1,ELECTRICAL,5/19/2020
10145,2906594/1,PLUMBING,7/27/2020
10145,2998251/1,PLUMBING,1/19/2021
10146,2917232/1,DECORATING,8/18/2020
10147,2878562/1,BRICKWORK,6/2/2020
10147,2878562/1,ROOFING,6/2/2020
10147,3014332/1,PLUMBING,2/16/2021
10147,3014332/2,DRAINAGE,2/16/2021
10147,3014332/2,PLUMBING,2/16/2021
10148,2905940/1,PLUMBING,7/26/2020
10148,2905940/2,PLUMBING,7/27/2020
10148,2905940/3,DECORATING,7/27/2020
10148,2905940/4,PLUMBING,7/29/2020
10148,2906315/1,WALLFLOOR,7/27/2020
10148,2926852/1,CARPENTRY,9/7/2020
10148,2926852/1,PLUMBING,9/7/2020
10148,2936871/1,CARPENTRY,9/25/2020
10149,2928438/1,CARPENTRY,9/9/2020
10149,2930580/1,CARPENTRY,9/14/2020
10149,2930580/1,GLAZING,9/14/2020
10149,2960912/1,ELECTRICAL,11/9/2020
10149,2961438/1,PLUMBING,11/10/2020
10149,2966602/1,BRICKWORK,11/19/2020
10149,2966602/1,CARPENTRY,11/19/2020
10149,2966602/1,PLASTERWRK,11/19/2020
10149,2974264/1,CARPENTRY,12/2/2020
10150,2882294/1,PLUMBING,6/10/2020
10151,2862932/1,CARPENTRY,4/7/2020
10151,2862932/2,CARPENTRY,4/7/2020
10151,2925783/1,PLUMBING,9/4/2020
10152,2891420/1,FENCING,6/29/2020
10152,2913120/1,FENCING,8/10/2020
10152,2913129/1,PLUMBING,8/10/2020
10152,2920425/1,ELECTRICAL,8/25/2020
